,index,StudioProjectName,StudioTestName,ParticipantName,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),RecordingTimestamp,StudioEventData,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),Unnamed: 14,participant_identifier
92,349,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5803,,,,665.0,644.0,225.27,214.26,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
93,350,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5820,,,,656.0,664.0,225.25,214.21,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
94,351,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5836,,,,659.0,661.0,225.23,214.17,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
95,352,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5853,,,,659.0,661.0,225.22,214.16,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
96,353,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5870,,,,627.0,669.0,225.25,214.07,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
97,354,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5886,,460.0,663.0,630.0,663.0,225.25,214.04,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
98,355,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5903,,460.0,663.0,632.0,663.0,225.25,214.03,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
99,356,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5920,,460.0,663.0,627.0,670.0,225.26,214.01,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
100,357,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5936,,460.0,663.0,632.0,662.0,225.28,213.99,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
101,358,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5953,,460.0,663.0,629.0,658.0,225.3,213.98,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
102,359,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5970,,460.0,663.0,633.0,660.0,225.31,213.97,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
103,360,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5986,,460.0,663.0,630.0,667.0,225.32,213.94,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
104,361,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,6003,,460.0,663.0,623.0,668.0,225.33,213.94,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
105,362,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,6020,,460.0,663.0,634.0,661.0,225.34,213.91,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
106,363,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,6036,,460.0,663.0,632.0,660.0,225.34,213.92,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
